likeCount,commentCount,dislikeCount,viewCount,likes/view,dislikes/view,comments/views,likes/dislikes,views/subscribers
3347,758,95,208799,0.01602977,0.000454983,0.003630286,35.23157895,0.936249259
3363,229,234,240617,0.013976569,0.0009725,0.00095172,14.37179487,0.43739313
2039,144,87,131519,0.015503463,0.000661501,0.001094899,23.43678161,0.658411678
2348,126,34,160947,0.014588653,0.00021125,0.000782866,69.05882353,0.262533893
2317,434,122,186452,0.012426791,0.000654324,0.002327677,18.99180328,0.446845848
389,158,400,84438,0.004606931,0.004737204,0.001871195,-2,0.514938805
3997,352,176,108210,0.036937436,0.001626467,0.003252934,22.71022727,0.344438904
6622,1343,296,83665,0.079148987,0.003537919,0.016052113,22.37162162,0.399021557
950,64,25,78956,0.012032018,0.000316632,0.000810578,-2,0.180703786
153,10,1,7575,0.02019802,0.000132013,0.001320132,-2,0.231577686
837,130,115,85851,0.00974945,0.00133953,0.001514251,-2,0.179049506
2354,233,145,199904,0.011775652,0.000725348,0.001165559,16.23448276,0.168971886
6295,961,395,379602,0.016583158,0.001040564,0.002531599,15.93670886,0.183727714
1119,150,177,76509,0.01462573,0.002313453,0.001960554,6.322033898,0.427809867
1802,136,106,166090,0.010849539,0.000638208,0.000818833,17,0.812377347
3237,373,115,200722,0.016126782,0.000572932,0.001858292,28.14782609,0.163735118
178,8,23,22887,0.007777341,0.001004937,0.000349543,-2,0.355445318
2987,255,94,130214,0.022939162,0.000721889,0.001958315,31.77659574,0.42956045
1694,144,50,141974,0.011931762,0.000352177,0.00101427,33.88,0.303835231
2526,357,94,103948,0.024300612,0.000904298,0.00343441,26.87234043,0.222456679
1872,139,36,90545,0.020674803,0.000397592,0.001535148,52,0.193773233
5173,2587,1434,694698,0.007446401,0.002064206,0.00372392,3.607391911,1.486706914
3749,970,108,189928,0.019739059,0.000568637,0.005107199,34.71296296,0.406460463
434,18,18,19023,0.022814488,0.000946223,0.000946223,-2,0.23728955
5919,515,64,110879,0.053382516,0.000577206,0.004644703,92.484375,0.295238544
1274,120,120,137957,0.009234762,0.000869836,0.000869836,10.61666667,0.357112437
11393,2075,93,166869,0.068275114,0.000557323,0.012434904,122.5053763,0.411575246
1933,419,1630,192318,0.010051061,0.008475546,0.002178683,1.185889571,0.36137547
1485,295,349,168861,0.008794215,0.002066789,0.001746999,4.255014327,0.438899744
3488,652,67,205086,0.017007499,0.000326692,0.003179154,52.05970149,0.428143719
91,2,3,9188,0.009904223,0.000326513,0.000217675,-2,0.182995808
2865,286,185,200060,0.014320704,0.000924723,0.001429571,15.48648649,0.156287652
3979,441,90,85509,0.046533113,0.001052521,0.005157352,44.21111111,0.587724949
1059,10,69,129526,0.008175965,0.000532712,7.72E-05,15.34782609,0.301046711
1853,190,17,73029,0.025373482,0.000232784,0.002601706,109,0.272378246
5505,388,141,274628,0.020045298,0.000513422,0.00141282,39.04255319,0.519184716
1112,123,89,140671,0.00790497,0.000632682,0.000874381,12.49438202,0.633728035
2685,251,83,127275,0.021096052,0.000652131,0.001972108,32.34939759,0.146120148
6523,1040,293,242601,0.02688777,0.001207744,0.004286874,22.26279863,0.626742825
4574,637,130,296124,0.015446232,0.000439005,0.002151126,35.18461538,0.199399495
828,23,20,54706,0.015135451,0.000365591,0.000420429,-2,0.441724645
1828,242,99,68278,0.026772899,0.001449955,0.003544333,18.46464646,0.267800622
26,0,1,2629,0.009889692,0.000380373,0,-2,0.285045359
4486,606,154,292860,0.015317899,0.000525849,0.002069248,29.12987013,0.367842781
69,1,5,5295,0.013031161,0.000944287,0.000188857,-2,0.398657744
2269,231,24,93174,0.024352287,0.000257583,0.002479232,94.54166667,0.14448085
4368,754,183,206406,0.021162176,0.000886602,0.003652995,23.86885246,0.144898164
3506,398,100,124152,0.028239577,0.000805464,0.003205748,35.06,0.496273057
