videoId,likes/dislikes
RBJGhinq3cs,1.9187878787878787
gRbntEyaXiA,4.931034482758621
sOMZ3dcyHbs,7.789489022731688
uYFmxgzPP3Q,12.786158051689862
DJ1WU0x9pBw,21.127416520210897
OYxfxf3wTLM,-1
qG5gXRC9WZo,33.90994167909942
fvB4UiIIJFk,3.1696393182718987
s2E4Pm828nM,-2
QPqOWA2GyBc,8.16832884097035
C95HankVPpg,12.10880100046897
eBQz4AZrNuk,10.25366927592955
XZ3OLswKKAw,35.02113095238095
Ksf64kn_M4g,4.955794504181601
QtNlz8INsuI,13.795316370186894
CuVd9oK16V0,12.328924469195963
ShGW_4CMsOQ,4.808364758313336
JCrB9KbKeRE,2.0843779336241646
NeLnqJGhq_Q,8.783353733170134
MiVnd2ey8cE,-2
IfH8p4DEUiQ,5.334504162055526
hWsBIQicYtE,22.26559714795009
4UQLy7jEhQQ,22.11830985915493
S-hsv9NahyI,8.217592592592593
bKh5IOv02eQ,12.97958850424559
bJqLlnQKO6I,55.597457627118644
b84Z3IRg3VA,25.414129110840438
UmplmxwE2WM,36.48994354269583
1FbbKVMVCPk,29.665651644336176
B4hv0-FPDxc,2.0167891913371747
7iheCrwQQlI,15.221841704718416
M-DnGeFHzFg,8.073422177520744
SsmE9Ty2T_Y,7.252167630057803
mzZRWB5k2ig,34.94634146341463
Wt7pevIvCbQ,27.256849315068493
C-75UPP2uUQ,58.64188351920694
ji77UYMWLU4,6.712328767123288
_nLLECY6m_Q,23.68247178740444
aQSeSoDjEGA,25.915235659481183
DzivgKuhNl4,8.441509433962263
pmQnypOt0HY,35.11570247933884
Rh5g7KY0b9Y,11.717809181076099
smuQlc8AN9c,19.47474275023386
wNhaUN89TQ8,144.26760563380282
MmbvxyRjMc0,53.631792376317925
9dRK8T-ny94,25.78811282740094
9r6oN78FS-o,5.406693472090823
Lz1Cf0LKA2I,2.6972676312622896
WtCyvBUhnK4,13.265717674970343
vV6JRy1iKq4,22.958333333333332
hUUw6HmWN0k,2.3216121735554185
a5rxaI9d_YE,-2
-YkhxmNFbeU,1.6704024452368824
dXdkbL6sRic,7.7108400712621625
CayMeza487M,7.791477395630543
HNG4NB1ccVE,3.3435804701627485
EQygJanGiL8,7.2105263157894735
GOFkFHKVzyg,5.6627337768294215
lJtHNEDnrnY,18.154920634920636
9Uh8i9joqVE,8.093980992608236
bSuWLVMvbJM,31.303468208092486
8SZlAcSGL8Y,2.1109207437020117
-Wdz29ixSos,2.6504329004329006
